name,type,category,sourceBlock,line,alreadyWindowExposed,neededGlobalByInlineHandler
openEditTaskModal,function,tasks-subtasks,main,13260,False,True
etOnProjectChange,function,task-modal,main,13481,False,True
etOnSprintChange,function,task-modal,main,13527,False,True
etOnStatusChange,function,task-modal,main,13538,False,True
etOnStartDateChange,function,task-modal,main,13557,False,True
cstOnStartDateChange,function,task-modal,main,13567,False,True
estOnStatusChange,function,task-modal,main,13577,False,True
estOnStartDateChange,function,task-modal,main,13596,False,True
saveTask,function,tasks-subtasks,main,13605,False,True
openCreateSprintModal,function,sprint-planning,main,13755,False,True
csOnStartDateChange,function,task-modal,main,13802,False,True
createSprint,function,sprint-planning,main,13811,False,True
openEditSprintModal,function,sprint-planning,main,13857,False,True
saveSprint,function,sprint-planning,main,13926,False,True
_openSprintCompletionModal,function,sprint-completion,main,14008,False,False
_scUpdateUI,function,sprint-completion,main,14099,False,True
_executeSprintCompletion,function,sprint-completion,main,14118,False,True
confirmDeleteSprint,function,sprint-planning,main,14234,False,True
openCreateProjectModal,function,projects,main,14260,False,True
createProject,function,projects,main,14327,False,True
_epToggleMember,function,epics,main,14364,False,True
openEditProjectModal,function,projects,main,14379,False,True
saveProjectEdit,function,projects,main,14469,False,True
deleteProject,function,projects,main,14504,False,True
toggleProjCard,function,projects,main,14526,False,True
_applyProjCardState,function,project-cards,main,14538,False,False
initProjCards,function,project-cards,main,14557,False,False
toggleEpicCard,function,epics,main,14582,False,True
_applyEpicCardState,function,epics,main,14592,False,False
initEpicCards,function,epics,main,14610,False,False
_viewerScopeUI,function,viewer-scope,main,14632,False,False
_cmToggleViewerScopeUI,function,viewer-scope,main,14650,False,True
_emToggleViewerScopeUI,function,viewer-scope,main,14651,False,True
_emSyncDeleteToggleVisibility,function,epics,main,14656,False,False
_emToggleDeleteFlag,function,epics,main,14663,False,True
openCreateMemberModal,function,teams,main,14673,False,True
createMember,function,teams,main,14790,False,True
openEditMemberModal,function,teams,main,14857,False,True
saveMember,function,teams,main,14989,False,True
deleteMember,function,teams,main,15058,False,True
renderEpics,function,epics,main,15086,False,False
openCreateEpicModal,function,epics,main,15180,False,True
createEpic,function,epics,main,15256,False,True
openEditEpicModal,function,epics,main,15302,False,True
saveEpic,function,epics,main,15402,False,True
deleteEpic,function,epics,main,15464,False,True
openEpicDetailModal,function,epics,main,15483,False,True
RELEASE_STATUSES,assign,release-domain,main,15551,False,False
rlid,function,utils-core,main,15554,False,False
getRelease,function,releases,main,15557,False,False
getReleaseTasks,function,releases,main,15559,False,False
getReleaseProgress,function,releases,main,15572,False,False
getReleaseStoryPoints,function,releases,main,15579,False,False
createRelease,function,releases,main,15587,False,False
_autoCreateReleaseForSprint,function,releases,main,15636,False,False
updateRelease,function,releases,main,15657,False,False
deleteRelease,function,releases,main,15686,False,False
RELEASE_VALIDATION_WARNINGS,assign,release-domain,main,15701,False,False
_releaseNotesTextLength,function,release-domain,main,15711,False,False
validateReleaseNotesForRelease,function,releases,main,15720,False,False
validateTaskStatusTransition,function,task-domain-utils,main,15732,False,False
saveReleases,function,releases,main,15745,False,False
loadReleases,function,releases,main,15749,False,False
RELEASE_STATUS_COLORS,assign,release-domain,main,15758,False,False
releaseStatusColor,function,release-domain,main,15764,False,False
releaseStatusBadge,function,release-domain,main,15765,False,False
getQueueTasks,function,release-domain,main,15768,False,False
toggleReleaseQueue,function,releases,main,15806,False,True
_rqDragTaskId,assign,releases,main,15818,False,False
_rqDragProjectId,assign,releases,main,15819,False,False
_rqDragMousedown,function,releases,main,15821,False,True
_rqDragStart,function,releases,main,15827,False,True
_rqDragEnd,function,releases,main,15838,False,True
_rqDragOver,function,releases,main,15848,False,True
_rqDragLeave,function,releases,main,15862,False,True
_rqDrop,function,releases,main,15869,False,True
renderReleaseQueue,function,releases,main,15914,False,False
mapTaskToRelease,function,releases,main,15968,False,True
unmapTaskFromRelease,function,releases,main,15990,False,True
populateReleaseFilters,function,releases,main,16008,False,False
clearReleaseFilters,function,releases,main,16038,False,True
getFilteredReleases,function,releases,main,16047,False,False
renderReleaseBoard,function,releases,main,16069,False,False
releaseCard,function,release-domain,main,16135,False,False
toggleReleaseTasks,function,releases,main,16254,False,True
confirmDeleteRelease,function,releases,main,16263,False,True
_releaseSprintOptions,function,release-domain,main,16274,False,False
_releaseOwnerOptions,function,release-domain,main,16281,False,False
_releaseProjectChanged,function,projects,main,16289,False,True
openCreateReleaseModal,function,releases,main,16297,False,True
submitCreateRelease,function,releases,main,16345,False,True
openEditReleaseModal,function,releases,main,16369,False,True
submitEditRelease,function,releases,main,16425,False,True
_searchDebounce,assign,search-widget,main,16488,False,False
SEARCH_RECENT_KEY,assign,search-widget,main,16489,False,False
MAX_RECENT,assign,search-widget,main,16490,False,False
_lastSearchKey,assign,search,main,16493,False,False
_lastSearchHTML,assign,search,main,16494,False,False
_getSearchCacheKey,function,search,main,16496,False,False
_invalidateSearchCache,function,search,main,16499,False,False
loadRecentSearches,function,search,main,16502,False,False
saveRecentSearch,function,search,main,16505,False,False
clearRecentSearches,function,search,main,16512,False,True
highlightMatch,function,utils-core,main,16518,False,False
clearSearch,function,search,main,16525,False,True
closeSearchDropdown,function,search,main,16534,False,True
openSearchDropdown,function,search,main,16543,False,False
renderRecentSearches,function,search,main,16549,False,False
applyRecentSearch,function,search,main,16575,False,True
removeRecentSearch,function,search,main,16581,False,True
performGlobalSearch,function,search,main,16588,False,False
renderSearchResultItem,function,search,main,16756,False,False
_rptToast,function,reports,main,16929,False,False
_rptExportMenuListenerAttached,assign,reports,main,16945,False,False
toggleRptExportMenu,function,reports,main,16946,False,True
_getReportExportData,function,reports,main,16963,False,False
PDF_MARGIN,assign,export-pdf,main,17096,False,False
PDF_HEADER_H,assign,export-pdf,main,17097,False,False
PDF_FOOTER_H,assign,export-pdf,main,17098,False,False
PDF_ACCENT,assign,export-pdf,main,17099,False,False
PDF_BG,assign,export-pdf,main,17100,False,False
PDF_CARD_BG,assign,export-pdf,main,17101,False,False
PDF_TEXT_DARK,assign,export-pdf,main,17102,False,False
PDF_TEXT_MID,assign,export-pdf,main,17103,False,False
PDF_TEXT_LIGHT,assign,export-pdf,main,17104,False,False
PDF_LINE_COLOR,assign,export-pdf,main,17105,False,False
PDF_CHART_SCALE,assign,export-pdf,main,17107,False,False
_pdfShowLoader,function,export-pdf,main,17111,False,False
_pdfProgress,function,export-pdf,main,17141,False,False
_pdfSetExportBtnState,function,export-pdf,main,17150,False,False
_pdfFilename,function,export-pdf,main,17162,False,False
_pdfGetFilterSummary,function,export-pdf,main,17167,False,False
_pdfContentArea,function,export-pdf,main,17195,False,False
_pdfDrawHeader,function,export-pdf,main,17211,False,False
_pdfDrawFooter,function,export-pdf,main,17265,False,False
_pdfSectionBand,function,export-pdf,main,17297,False,False
_pdfKpiCard,function,export-pdf,main,17320,False,False
_pdfKpiCardProgress,function,export-pdf,main,17358,False,False
_pdfCaptureChart,function,export-pdf,main,17397,False,False
_pdfInsertChart,function,export-pdf,main,17416,False,False
_pdfEnsureSpace,function,export-pdf,main,17431,False,False
_pdfBuildCoverPage,function,export-pdf,main,17443,False,False
_pdfBuildExecutiveSummary,function,export-pdf,main,17534,False,False
_pdfBuildSprintAnalytics,function,export-pdf,main,17668,False,False
_pdfBuildTeamProductivityCharts,function,export-pdf,main,17732,False,False
_pdfBuildMemberProductivityTable,function,export-pdf,main,17773,False,False
_pdfBuildProjectAnalytics,function,export-pdf,main,17813,False,False
_pdfBuildReleaseAnalytics,function,export-pdf,main,17876,False,False
_pdfBuildEpicAnalytics,function,export-pdf,main,17935,False,False
_pdfBuildSummaryTables,function,export-pdf,main,17994,False,False
_pdfBuildTaskList,function,export-pdf,main,18048,False,False
exportReportPDF,function,reports,main,18131,False,True
_xlShowLoader,function,export-excel,main,18321,False,False
_xlProgress,function,export-excel,main,18364,False,False
_xlSetTitle,function,export-excel,main,18374,False,False
_xlSetBtnState,function,export-excel,main,18380,False,False
_xlYield,function,export-excel,main,18389,False,False
_xlCell,function,export-excel,main,18405,False,False
_xlBuildSheet,function,export-excel,main,18420,False,False
_xlFmtDate,function,export-excel,main,18465,False,False
_xlStr,function,export-excel,main,18478,False,False
_xlLookup,function,export-excel,main,18487,False,False
_xlTaskCompletion,function,export-excel,main,18513,False,False
_xlReopenCount,function,export-excel,main,18526,False,False
_xlDevStatus,function,export-excel,main,18533,False,False
_xlQaStatus,function,export-excel,main,18544,False,False
_xlProdStatus,function,export-excel,main,18551,False,False
